ensembl	log2FC
ENSG00000178828.7	-4.63151146577458
ENSG00000169914.6	-0.7802135201293
ENSG00000235432.1	-2.79346787675015
ENSG00000233072.1	-2.97693671426188
ENSG00000287192.1	-2.58818506166326
ENSG00000218510.9	-2.86880519438387
ENSG00000184677.18	-1.75091450058614
ENSG00000237200.1	-4.52125434214848
ENSG00000169641.16	-0.884402605090567
ENSG00000289014.2	-1.11711385944038
ENSG00000261326.5	-1.30423802225831
ENSG00000249087.10	-0.70342258966244
ENSG00000117318.9	-0.68890375410985
ENSG00000011007.13	-0.777896555277139
ENSG00000011009.12	-0.636379472926467
ENSG00000117308.15	-0.976625620011421
ENSG00000189266.13	-1.07135598206237
ENSG00000188529.15	-1.28519281032781
ENSG00000185436.12	-1.44187855209801
ENSG00000158055.17	-2.04261556951028
ENSG00000001460.18	-0.644259524122241
ENSG00000133226.19	-0.662445195649415
ENSG00000284657.2	-2.7784890914223
ENSG00000117616.18	-1.11420346583878
ENSG00000261349.1	-3.21097414221129
ENSG00000157978.13	-1.54487661049332
ENSG00000117640.18	-1.35503633252072
ENSG00000127423.11	-0.782554140310621
ENSG00000158006.14	-1.94752775489864
ENSG00000175087.10	-2.16744880776782
ENSG00000142684.9	-0.880959903280021
ENSG00000130695.16	-1.47811806770665
ENSG00000176092.17	-2.66720548878098
ENSG00000294798.1	-8.3105437146476
ENSG00000289452.2	-2.17124017314108
ENSG00000175793.12	-0.728200707762388
ENSG00000309929.1	-2.3697314672703
ENSG00000198746.13	-0.776402351776262
ENSG00000175707.10	-1.51542605157748
ENSG00000158246.8	-2.74124986131876
ENSG00000181773.7	-0.866527708892981
ENSG00000126705.15	-0.663459128388483
ENSG00000231344.1	-5.6912915894199
ENSG00000269971.1	-2.20478760999232
ENSG00000117751.18	-0.602070408141731
ENSG00000158156.9	-2.64342678561143
ENSG00000240750.3	-1.47693571989586
ENSG00000130772.14	-1.54128774596477
ENSG00000229820.2	-2.08565104443576
ENSG00000308327.1	-1.1319720350415
ENSG00000242125.3	-2.72026223118952
ENSG00000197989.16	-2.32386844217913
ENSG00000229388.2	-1.78167126921463
ENSG00000162419.13	-1.39505808980025
ENSG00000198492.16	-1.87350884926112
ENSG00000116350.18	-2.69022488722165
ENSG00000186056.12	-2.03081953310268
ENSG00000134644.16	-1.40584051119966
ENSG00000308292.1	-5.54322898781525
ENSG00000229447.2	-2.57486937479216
ENSG00000229167.3	-1.5441341676869
ENSG00000142910.16	-0.642477685141829
ENSG00000084636.18	-0.734478521890777
ENSG00000306756.1	-2.20303039315276
ENSG00000269967.1	-1.60687457502377
ENSG00000084652.16	-0.900136839998631
ENSG00000160055.20	-0.751677081492705
ENSG00000225828.2	-1.92438853670228
ENSG00000160058.19	-1.34074397264787
ENSG00000176261.16	-0.743158089267464
ENSG00000116514.17	-0.735504742487038
ENSG00000004455.18	-0.689569484170729
ENSG00000276645.1	-2.7389988910312
ENSG00000305756.1	-6.23445617037507
ENSG00000270115.1	-3.32916871593548
ENSG00000284154.1	-6.26531894846041
ENSG00000222112.1	-1.95684077502842
ENSG00000188910.8	-3.84875199706304
ENSG00000146463.12	-0.988555804166568
ENSG00000020129.16	-0.890437946778514
ENSG00000116863.11	-0.641306263283474
ENSG00000116871.16	-0.710840619346561
ENSG00000054118.15	-1.98598929543562
ENSG00000300712.1	-4.00647225269196
ENSG00000181817.6	-0.926206257131585
ENSG00000163874.11	-1.82723338923193
ENSG00000134697.13	-1.72560263544958
ENSG00000116922.15	-0.811513885747089
ENSG00000196449.4	-1.45611256378031
ENSG00000183386.11	-1.3611116535954
ENSG00000183520.12	-1.06140809573686
ENSG00000174574.16	-0.955491241241189
ENSG00000291129.2	-0.75207411746849
ENSG00000090621.15	-1.84099947755024
ENSG00000198754.5	-1.22971887347618
ENSG00000261798.1	-2.28340228472277
ENSG00000043514.17	-1.02191665425923
ENSG00000202222.1	-1.75892830360771
ENSG00000116990.12	-1.4232594182785
ENSG00000168389.18	-2.82894306651368
ENSG00000228477.1	-2.84670172346181
ENSG00000117000.9	-1.6197764938337
ENSG00000259943.3	-2.18786811153916
ENSG00000084070.12	-0.649477527683287
ENSG00000272145.3	-1.42499198062873
ENSG00000207962.1	-5.49398454531298
